Day,Market Name,Order Count,Revenue
2018-11-16T00:00:00.000-05:00,Baltimore MD,1,407.5
2018-11-25T00:00:00.000-05:00,Baltimore MD,3,900.75
2018-11-30T00:00:00.000-05:00,Baltimore MD,3,798
2018-12-03T00:00:00.000-05:00,Baltimore MD,1,516
2018-12-05T00:00:00.000-05:00,Baltimore MD,1,1144
2018-12-06T00:00:00.000-05:00,Baltimore MD,3,1311
2018-12-08T00:00:00.000-05:00,Baltimore MD,4,1926.5
2018-12-12T00:00:00.000-05:00,Baltimore MD,1,496.75
2018-12-14T00:00:00.000-05:00,Baltimore MD,3,805
2018-12-15T00:00:00.000-05:00,Baltimore MD,4,2628.75
2018-12-16T00:00:00.000-05:00,Baltimore MD,3,1720.75
2018-12-17T00:00:00.000-05:00,Baltimore MD,1,1194
2018-12-18T00:00:00.000-05:00,Baltimore MD,3,714.5
2018-12-23T00:00:00.000-05:00,Baltimore MD,2,995.5
2018-12-28T00:00:00.000-05:00,Baltimore MD,4,1811.25
2018-12-30T00:00:00.000-05:00,Baltimore MD,1,547.5
2019-01-04T00:00:00.000-05:00,Baltimore MD,2,617
2019-01-07T00:00:00.000-05:00,Baltimore MD,3,1893.75
2019-01-11T00:00:00.000-05:00,Baltimore MD,1,529.5
2019-01-15T00:00:00.000-05:00,Baltimore MD,2,511.5
2019-01-17T00:00:00.000-05:00,Baltimore MD,3,628.5
2019-01-18T00:00:00.000-05:00,Baltimore MD,2,1019.25
2019-01-19T00:00:00.000-05:00,Baltimore MD,3,1275.5
2019-01-20T00:00:00.000-05:00,Baltimore MD,2,401.5
2019-01-21T00:00:00.000-05:00,Baltimore MD,3,1355
2019-01-22T00:00:00.000-05:00,Baltimore MD,2,525.5
2019-01-25T00:00:00.000-05:00,Baltimore MD,3,988.25
2019-01-27T00:00:00.000-05:00,Baltimore MD,1,396.5
2019-01-28T00:00:00.000-05:00,Baltimore MD,1,878.75
2019-01-30T00:00:00.000-05:00,Baltimore MD,3,902.75
2019-01-31T00:00:00.000-05:00,Baltimore MD,2,888.75
2019-02-01T00:00:00.000-05:00,Baltimore MD,2,580
